Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-2J-AAB1-01,0.011556544,0.009068066,0,0.064743081,0,0.293107594,0,0.008806135,0.035526499,0,0.005339475,0.030980911,0.055603129,0.033990181,0.086976741,0.214433693,0.009538403,0.027505224,0.063749477,0,0,0,0,0.659303749,0.781998542,0.950925152
TCGA-2J-AAB4-01,0.005366915,0.000813121,0.000612499,0.001248438,0,0.265780808,0,0.027555635,0.058639972,0,0,0.044814034,0.07480917,0.071540822,0.0351289,0.226760279,0.029052529,0.029800408,0.032083289,0,0.000365058,0,0,0.626671138,0.800541541,0.904371876
TCGA-2J-AAB6-01,0,0.004522923,0.003753898,0.007983381,0,0.078838331,1.50E-05,0.031435503,0.014711683,0,0.000397219,0.019879765,0.023995108,0.198397101,0.01988371,0.259135215,0,0.0239505,0.045493434,0,0,0.002209926,0,0.713166066,0.720533777,0.734602674
TCGA-2J-AAB8-01,0.051095088,0,0.005982569,0.040099129,0,0.139325587,0,0.054786886,0.024647531,0,0,0.020309018,0.001463634,0.134049482,0.017321491,0.227421973,0.004891302,0.030325209,0.016577103,0,0,0.004979629,0,0.662696554,0.773278879,0.773275632
TCGA-2J-AAB9-01,0.047092544,0,0.013616489,0.060632768,0,0.146891797,0,0.02548413,0.06463716,0,0.012298919,0.033968174,0.045810016,0.062106074,0.01538026,0.213365261,0.030966166,0.010728635,0.038734387,0,0,0.002314939,0,0.687935819,0.772079085,0.824027719
TCGA-2J-AABA-01,0.052365807,0.002246842,0.010740086,0.02129046,0,0.245225094,0,0.019103982,0.06759401,0,0.038844212,0,0.011764206,0.106497412,0.01000727,0.114653284,0,0.02076412,0.076315051,0,0,0,0,0.546166393,0.844727747,0.797411835
TCGA-2J-AABE-01,0,0.043124392,0,0.00825229,0,0.154570638,0,0.021475266,0.031362212,0,0.002650874,0.038139649,0.109754855,0.230401624,0.002508033,0.172446099,0.021730512,0.025512648,0.015233573,0.016511206,0.006206733,0.00428837,0,0.704625961,0.742859482,0.904168973
TCGA-2J-AABF-01,0.032683858,0,0.001956399,0.079624651,0,0.182725155,0,0.037243269,0.071026875,0,0.021529618,0.039523789,0.054045459,0.138115469,0.081395674,0.312553218,0.025296061,0.002853469,0.00893015,0.015608787,0,0.02837765,0,0.771466197,0.710178305,1.133489553
TCGA-2J-AABH-01,0,0.019884217,0,0.005194546,0,0.142603283,0,0.001441817,0.034541506,0,0.011360069,0.021731151,0.011320214,0.13190928,0.018398993,0.257451393,0.025815668,0,0.028595734,0,0,0.015013336,0,0.55187153,0.834999007,0.725261208
TCGA-2J-AABI-01,0.186005954,0,0,0.026831639,0,0.136428007,0,0.064253185,0.069367258,0,0,0.091650585,0.011423575,0.179954707,0.019683948,0.178456549,0,0.03654286,0,0.066867337,0,0.003564562,0,0.55080147,0.841436726,1.071030164
TCGA-2J-AABK-01,0.052111735,0,0.002272382,0.060943201,0,0.194102937,0,0.03627986,0.011562796,0,0.003247307,0.006547197,0.003909811,0.069855653,0.034752052,0.187285249,0,0.012799929,0,0.051260307,0,0,0,0.544797293,0.843289864,0.726930416
TCGA-2J-AABO-01,0.03342743,0.006971672,0,0.036800556,0,0.150906956,0,0.01244136,0.021253982,0,0.007475302,0.008874388,0.007501299,0.161926046,0.018420691,0.163974051,0,0.014307136,0.084748787,0,0,0,0,0.687965119,0.759263518,0.729029657
