Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-2J-AAB1-01,0.011489091,0.009051534,0,0.064999213,0,0.29204594,0,0.008470917,0.035863708,0,0.00493568,0.031366163,0.055611983,0.0336728,0.087675233,0.215824005,0.009897536,0.027496398,0.064215771,0,0,0,0,0.65965192,0.781849975,0.952615972
TCGA-2J-AAB4-01,0.005320427,0.000267761,0.000685828,0.002460389,0,0.263521118,0,0.027825466,0.058571757,0,0,0.04504583,0.074873057,0.071479744,0.0354113,0.228262962,0.029035415,0.029913979,0.032158358,0,0.000402436,0,0,0.626794759,0.80046053,0.905235826
TCGA-2J-AAB6-01,0,0.004902608,0.003671541,0.007203367,0,0.075822929,0,0.032974128,0.014775123,0,5.48E-05,0.020228449,0.023801965,0.198710047,0.020052391,0.260956754,0,0.024198708,0.045787834,0,0,0.002392669,0,0.713995815,0.719662178,0.735533263
TCGA-2J-AAB8-01,0.048982341,7.70E-06,0.005520174,0.040094348,0,0.140259151,0,0.055508058,0.024529179,0,0.000211965,0.020208701,0.00156902,0.134361162,0.017560605,0.228619304,0.005088347,0.030397816,0.016717837,0,0,0.005078216,0,0.662851082,0.772998838,0.774713925
TCGA-2J-AAB9-01,0.048195258,0,0.013490585,0.060510044,0,0.145763842,0,0.025886778,0.064017753,0,0.012098581,0.033677674,0.045786371,0.062123713,0.01620878,0.214577335,0.030876383,0.010864438,0.039106946,0,0,0.002278662,0,0.688541644,0.771926708,0.825463143
TCGA-2J-AABA-01,0.051911297,0.002596934,0.010724639,0.021873972,0,0.246920229,0,0.019311487,0.066546601,0,0.037301006,0,0.011931469,0.106674392,0.010104798,0.115976636,0,0.020962769,0.075838271,0,0,0,0,0.546336146,0.844611456,0.7986745
TCGA-2J-AABE-01,0,0.043360113,0,0.008159443,0,0.15512963,0,0.021681479,0.032848712,0,0.002323853,0.038144794,0.109352777,0.229990411,0.00251405,0.173170392,0.021557787,0.025549487,0.015538918,0.016228771,0.005738889,0.004282493,0,0.7051254,0.742699419,0.905571998
TCGA-2J-AABF-01,0.032625083,0,0.00183711,0.07954566,0,0.186267308,0,0.037461164,0.069946441,0,0.02227046,0.03853997,0.053879732,0.137289547,0.081451515,0.31257341,0.025967403,0.002823371,0.009559765,0.01518354,0,0.028445704,0,0.771246657,0.710533254,1.135667183
TCGA-2J-AABH-01,0,0.024257581,0,0.004923945,0,0.14140747,0,0.001428313,0.033880586,0,0.013854111,0.019267935,0.011338298,0.131531895,0.018390159,0.257743992,0.024301917,0,0.028916311,0,0,0.014939287,0,0.552520448,0.834730431,0.726181802
TCGA-2J-AABI-01,0.185325465,0,0,0.034760466,0,0.134603774,0,0.061790813,0.065497572,0,0,0.090734346,0.011876689,0.180992894,0.02089769,0.181110154,0,0.036516202,0,0.064723145,0,0.003672842,0,0.550795401,0.841405428,1.072502051
TCGA-2J-AABK-01,0.051210358,0,0.002222552,0.06125372,0,0.192567765,0,0.036827178,0.011478478,0,0.002732874,0.006707243,0.003764224,0.070409175,0.035276685,0.189784695,0,0.012915106,0,0.051231685,0,0,0,0.545318578,0.842961133,0.728381737
TCGA-2J-AABO-01,0.038703818,0.001261581,0,0.038639371,0.00034538,0.145934945,0,0.013198607,0.021278534,0,0.007022656,0.00908736,0.007595882,0.163226326,0.018748939,0.165148692,0,0.014425236,0.085743034,0,0,0,0,0.688334672,0.758809419,0.730360361
TCGA-2J-AABP-01,0.00120488,0.01077243,0.005222677,0.091892028,0,0.09237764,0.026769773,0.10428738,0.071063424,0,0.059197916,0.013206316,0.011144248,0.300636132,0.122135547,0.463073713,0,0,0.008856459,0,0,0.003969041,0,0.824216405,0.645672909,1.385809605
TCGA-2J-AABR-01,0.040600814,0,0.006641154,0.126657987,0,0.243666707,0.007413694,0.054332509,0.062795986,0,0.010942078,0.02765714,0.034465601,0.06001021,0.056788043,0.332804337,0.012948551,0.035349609,0.075082332,0,0,0.008190631,0,0.715979631,0.753131196,1.196347382
TCGA-2J-AABT-01,0.014254504,0,0,0.032587621,0,0.199142761,0.006205824,0.001199053,0.058717185,0,0.026590018,0,0.08754403,0.113809532,0.022719851,0.361481898,0,0.044732912,0.030180401,0,0,0,0,0.763011839,0.707695508,0.999165591
TCGA-2J-AABU-01,0.044465849,0.010694023,0,0.03227679,0,0.139879588,0,0.02712916,0.068192931,0,0.034553984,0.008977018,0.004987466,0.135813268,0.01576857,0.169185304,0,0.010485735,0.045327329,0,0,0,0,0.623419281,0.800593291,0.747737015
TCGA-2J-AABV-01,0.0020853,0.013031191,0,0.089435492,0,0.102851159,0,0.021083215,0.058016554,0,0,0.052870634,0.041520243,0,0.00662892,0.161304267,0.0121034,0.012311503,0.114201988,0,0,0.003659312,0,0.52092627,0.857441613,0.691103178
TCGA-2L-AAQA-01,0,0,0.002451984,0,0,0.169116675,0,0.008567131,0.030349549,0,0.018504737,0.010172252,0,0.297464854,0.001578706,0.110348092,0.000178171,0.000866681,0,0.048060205,0,0,0,0.658630598,0.755450912,0.697659037
TCGA-2L-AAQE-01,0.045467484,0.060476848,0,0.055120815,0,0.120087831,0,0.068014355,0.088540235,0,0.021365651,0.008222085,0,0.16220281,0.002679674,0.09340288,0,0.045115652,0.025889905,0,0,0,0,0.657421537,0.781367517,0.796586224
TCGA-2L-AAQI-01,0,0.026448833,0,0.005112808,0,0.191154645,0,0.00334586,0.035722706,0,0,0.035367592,0.002217098,0.197408871,0.017069168,0.201217136,0,0,0,0.011106789,0,0.006541239,0,0.61350074,0.794499901,0.732712744
TCGA-2L-AAQJ-01,0.123193032,0.012361234,0,0.017689461,0,0.12269097,0,0.097205806,0.060661028,0,0,0.052667411,0,0.225330461,0.040379958,0.161139618,0,0,0,0.014239783,0.003601329,0,0,0.661810435,0.773512189,0.931160091
TCGA-2L-AAQL-01,0.024238574,0.000220409,3.91E-05,0.044022242,0,0.211594424,0,0.000590775,0.005981133,0,0,0.06132452,0.024939761,0.13183741,0.036849586,0.283770163,0.011919764,0.008166651,0.05309306,0,0,0,0,0.617150994,0.800180911,0.898587555
TCGA-2L-AAQM-01,0.036054849,0,0.001493068,0.007579078,0,0.055711446,0,0.045194859,0.063233302,0,0.063045795,0.032173183,0.046105845,0,0.010699122,0.106265595,0,0,0.052121368,0,0,0.002134669,0,0.285696596,0.968289907,0.521812179
TCGA-3A-A9I5-01,0.103164063,0.001978895,0.003390693,0.028982664,0,0.099240772,0,0.066178457,0.068368,0,0,0.034860026,0.007022367,0.160916826,0.005857152,0.146139478,0,0.008296826,0,0.060644998,0,0.008790339,0,0.513304161,0.859676789,0.803831555
TCGA-3A-A9I7-01,0.101045675,0.035253885,0,0.063347112,0,0.177898757,0,0.072823944,0.077464147,0,0.023539873,0.029572118,0.008171388,0.11305598,0.039043864,0.200611269,0,0.009494582,0.073076504,0,0,0,0,0.667879991,0.782937159,1.024399097
TCGA-3A-A9I9-01,0.006292558,0.014242182,0.001078875,0.062505686,0.013329236,0.135641712,0,0.020242726,0.041920906,0,0.003181773,0.044868013,0.044155497,0.115440136,0.014279444,0.238574646,0.007334391,0.003818393,0.024215146,0.012609821,0,0.015983857,0,0.676659105,0.766451702,0.819714999
TCGA-3A-A9IB-01,0,0.005548144,0,0,0,0.162039485,0,0.012439067,0.03323197,0,0,0.053316614,0,0.188849219,0.024817674,0.283243308,0,0.008118268,0.072005849,0,0,0.00476029,0,0.743072661,0.709689141,0.848369888
