Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ICGC_0313,0.130444758,0,0.00621416,0.117236463,0.014736563,0,0.005983193,0.021669682,0.092676357,0,0,0.010059152,0.153840568,0.162943523,0.005213926,0.33064179,0.290493149,0.004370766,0.371179882,0.033363446,0.162913615,0,0,0.369383367,0.929335478,1.913980995
ICGC_0303,0.086440627,0,0.023186385,0.204269571,0.122301659,0,0.002016293,0.044055003,0.109591372,0,0,0.067634059,0.016543425,0.074494413,0.073968535,0.140443225,0.07760148,0,0.453819582,0,0.003643875,0,0,0.462071308,0.88742009,1.500009503
ICGC_0406,0.029917001,0,0,0.260172546,0.085731069,0,0,0,0.008525077,0,0,0.130040565,0.030183529,0.063983254,0.007156721,0.017426943,0.022926403,0,0.640106386,0,0,0,0,0.420263913,0.915529116,1.296169494
ICGC_0412,0.155322608,0,0.009322337,0.28727268,0.064583876,0.006813913,0.002404951,0,0.018958397,0,0,0.03349307,0.208864594,0.000998586,0.006874475,0.189612495,0.040321039,0,0.247135179,0,0.028717282,0,0,0.481909242,0.879487749,1.300695481
ICGC_0365,0.026673341,0,0.027028551,0.331972408,0,0.035373118,0,0,0.01651703,0,0,0.118066951,0.037782541,0.154558985,0.019974631,0.021357664,0.040757649,0,0.525795763,0,0.015364019,0,0,0.360558502,0.939583099,1.371222652
ICGC_0415,0.150123055,0,0,0.228893386,0.187565963,0.03848418,0,0,0,0,0,0.041774214,0.019071449,0.113642271,0.006407721,0.166484732,0.044836681,0.009192589,0.39453965,0,0,0,0,0.433767737,0.900656291,1.401015891
ICGC_0417,0.029835324,0,0.002903011,0.297489061,0.0336848,0.023165292,0,0,0,0,0,0.119789822,0.063147744,0.059149873,0.00809743,0.00701413,0.078753745,0,0.570521987,0,0.026531171,0,0,0.413266346,0.914473366,1.32008339
ICGC_0419,0.035814354,0,0.019781123,0.293608314,0.107936362,0.009211631,0,0,0.023597936,0,0,0.111591812,0.059711925,0.045507884,0.027258114,0.076965541,0.062501473,0,0.43622108,0,0.005196226,0,0,0.418700002,0.908151671,1.314903773
ICGC_0420,0.064668542,0,0,0.204267148,0.157361741,0,0,0,0,0,0,0.136598712,0.02210475,0.065913976,0.025623929,0.105977772,0.096840171,0,0.514112151,0,0,0,0,0.416431053,0.909679971,1.393468892
ICGC_0535,0.047966028,0,0.001952516,0.252104558,0.033836903,0,0,0,0.019531815,0,0,0.102073909,0.039253396,0.080869571,0.032439095,0.08531557,0.272554703,0,0.472054106,0,0.012626265,0.007590929,0,0.366600811,0.931544745,1.460169364
ICGC_0536,0.245226602,0,0,0.15526874,0.108499682,0.009697432,0,0.014838458,0.098532479,0,0.086022809,0.005276457,0.010798762,0.247566972,0.078237711,0.251717379,0.056819384,0,0.29938092,0,0.0663338,0,0,0.489742715,0.876717091,1.734217588
ICGC_0502,0,0.041718479,0,0.37286395,0.061468205,0,0,0,0,0,0,0.110980404,0.0218166,0.204653362,0,0.018337191,0,0,0.356869358,0,0,0,0,0.449814105,0.893315437,1.18870755
ICGC_0503,0.011442059,0.007380274,0.000842611,0.321331911,0.073144536,0.077186303,0,0,0.02716701,0,0,0.170306891,0.051178255,0.041143909,0.014478406,0.054101937,0.037039528,0.001394874,0.44029129,0,0.004277901,0,0,0.446337708,0.895625016,1.332707697
ICGC_0518,0.017715235,0.049648309,0,0.220923798,0.047709755,0,0,0.039861874,0.125880481,0,0,0.143516686,0.010011739,0.049784235,0.052043732,0.133417061,0.089666948,0,0.560458105,0,0.039102506,0,0.01,0.217106632,1.001995399,1.579740464
ICGC_0507,0.046007599,0.006459757,0,0.436152867,0.003873278,0.010048638,0,0,0.041966592,0,0,0.130855001,0.045093999,0.002038427,0.007260641,0.075071655,0.026868655,0,0.308296867,0,0,0,0,0.295589006,0.978593076,1.139993976
ICGC_0521,0.10960511,0,0,0.209598809,0.046910578,0,0,0.020287928,0.011814389,0,0,0.098460132,0.016868829,0.208895641,0.00160531,0,0.006007561,0.001566302,0.505331745,0,0,0.006308828,0,0.411130077,0.914338342,1.243261162
ICGC_0522,0.057877413,0,0,0.264798139,0.006688773,0,0,0.010770838,0.071274204,0,0,0.0828737,0.048022934,0.085108675,0.0086596,0.126675556,0.030242537,0,0.378525053,0,0,0,0,0.360352961,0.935685756,1.171517422
ICGC_0526,0.35915291,0,0.037680509,0.124679549,0.166008524,0.03109583,0,0,0.07094879,0,0,0.035167145,0.017627442,0.4009026,0.024875595,0.07345462,0.032576303,0,0.447501823,0,0,0,0,0.380644362,0.925982907,1.821671639
ICGC_0543,0.084395893,0,0.026880884,0.196350721,0.082770238,0,0.000860431,0.034230349,0.07034518,0,0,0.060275356,0.04510415,0.147549242,0.046718389,0.195918394,0.023009094,0,0.669684372,0,0.008324032,0,0,0.434359888,0.900654254,1.692416724
