Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ICGC_0006,0.049148762,0,0.163486656,0,0.018309136,0.364731037,0.031786333,0,0,0.041217603,0.027033772,0,0.010098459,0,0.023558657,0.144853642,0.037010257,0.040780486,0.182864872,0,0.002372287,0,0,0.726408437,0.75961276,1.137251959
ICGC_0007,0.072720437,0,0.16541953,0.013131719,0,0.458610249,0.02739767,0,0,0,0.02845066,0.000687772,0,0.077280991,0.056244988,0.150669918,0.010940034,0,0.169877391,0,0,0.011886349,0,0.521793648,0.859426481,1.243317706
ICGC_0009,0,0.036131799,0.027109224,0,0,0.408789465,0,0,0,0.017420332,0.066869304,0,0.023553086,0.264735662,0.035839346,0.485382891,0.011774485,0.00435594,0.046052746,0,0,0,0,0.633095324,0.793675451,1.428014281
ICGC_0075,0.080561903,0,0.052090472,0,0.017807486,0.20240589,0,0,0,0,0.062171123,0,0,0.325247311,0,0.100980323,0,0.010537773,0.033360877,0,0,0,0,0.723536424,0.730203986,0.885163157
ICGC_0354,0,0.059272043,0.039957831,0,0.046784634,0.102257526,0,0.010800289,0.003908965,0,0.01655604,0.03060469,0.015999807,0.138230362,0,0.071981977,0.001363078,0.064161923,0.018768938,0,0.00385672,0.001987478,0,0.331886572,0.946574684,0.626492301
ICGC_0020,0.107159223,0.003001387,0.18524531,0,0,0.161647612,0.002528594,0.00474337,0.01784365,0,0.026637136,0,0.030915681,0.5235395,0.003442604,0.178771281,0,0,0.024668803,0.021642855,0.006314047,0,0,0.604030027,0.800450837,1.29810105
ICGC_0021,0.024752871,0,0.030477823,0.009741362,0,0.333759,0.005456988,0,0,0,0.008377069,0.003064483,0.034364898,0.237138685,0,0.302786721,0.019504288,0.023119974,0.076588649,0,0.022001304,0.023182309,0,0.733995136,0.740035432,1.154316424
ICGC_0025,0.099664207,0,0.280614744,0.007361607,0,0.13123731,0.025992754,0.009544562,0,0,0.033833514,0.001037989,0.004177481,0.108354194,0.018547874,0.195625905,0,0.057476249,0.059472725,0,0,0.019236927,0,0.751051,0.712809031,1.052178042
ICGC_0026,0.045206381,0,0.060355995,0,0,0.17493964,0,0,0,0,0.035581042,0.005855126,0.009575258,0.107330533,0,0.145054011,0.023556269,0.022996073,0.094130554,0,0,0.017965753,0,0.543628704,0.852938145,0.742546635
ICGC_0031,0.020989264,0.026796742,0.021069305,0,0,0.311469903,0,0,0,0,0.064529712,0,0.015635541,0.17445286,0.000927141,0.225197379,0.055799114,0.03126628,0.03953651,0,0.01931099,0.086910324,0,0.56494633,0.837062896,1.093891065
ICGC_0033,0.095195028,0,0.178434713,0.005274876,0.056266521,0.216254936,0.007090476,0,0,0,0.039042031,0,0.008071351,0.0202378,0.003470162,0.099978415,5.78E-05,0.020925734,0.052220549,0,0,0,0,0.656598851,0.773685327,0.80252042
ICGC_0037,0.046536291,0,0.115732331,0,0,0.18404398,0,0,0,0.004215382,0.095595805,0,0,0.156227462,0.042487245,0.153779952,0.007652415,0.011200528,0.093901067,0,0,0.010370714,0,0.62920548,0.808623581,0.921743173
ICGC_0087,0.040154247,0,0.066824102,0,0.020495601,0.256851541,0.016861524,0,0,0,0.049138463,0,0.011780629,0.084451005,0.000621517,0.110532662,0.00129872,0.027686272,0.046628225,0,0.012019189,0.000743207,0,0.488541689,0.875714459,0.746086905
ICGC_0088,0.006494204,0.023913772,0.03587164,0,0.054647581,0.185241542,0.001283003,0,0,0,0.069307497,0,0.00296806,0.267634903,0,0.12932891,0,0.016756579,0,0.021966427,0.001282647,0,0,0.756744579,0.709170689,0.816696763
ICGC_0048,0.110839593,0,0.059013948,0,0,0.323439507,0.024817645,0,0,0,0.048126748,0,0.010742053,0.0812945,0.007559965,0.141889857,0.027595679,0.007860778,0.036153349,0,0.004648402,0,0,0.566707693,0.836376316,0.883982024
ICGC_0391,0.089470095,0.032545813,0.041009321,0.030932545,0,0.484025144,0,0,0,0.004107966,0,0.052331045,0.004446691,0.057275112,0.052882859,0.177709678,0.016338965,0.014725497,0.039058104,0,0,0,0,0.725264052,0.740308837,1.096858835
ICGC_0051,0.019141888,0,0.012683387,0,0,0.32714615,0.013370837,0,0,0,0.067296435,0,0,0.114526765,0.015446115,0.261077493,0.010276862,0.055360168,0.034263766,0,0,0.035253132,0,0.61174764,0.812097461,0.965842998
ICGC_0052,0.0520693,0,0.097079165,0,0,0.22602556,0.006798258,0,0,0,0.036525435,0,0.012667144,0.022678965,0.001126657,0.169923518,0.00389847,0.032654245,0.053553977,0,0,0,0,0.540553247,0.851551417,0.715000694
ICGC_0053,0.044934642,0.006929658,0.12908036,0,0,0.284527016,0.022149932,0,0.006689457,0.002677942,0.002211895,0.010975448,0.002855881,0.105963979,0,0.12314053,0,0.041272138,0.073292975,0,0.006977209,0.010931692,0,0.63093829,0.805883925,0.874610754
ICGC_0054,0.016404338,0,0.047682397,0.006479298,0,0.265586127,0.019634853,0,0,0,0.075805997,0,0.028575116,0.145079964,0.040213523,0.07492723,0.006329267,0.014004332,0,0.03020737,0.004593533,0.01367531,0,0.621934212,0.806627159,0.789198654
ICGC_0055,0.089616368,0,0.063942107,0,0,0.236622019,0.008616417,0,0,0,0.049819952,0,0.005737875,0.093672671,0.00389232,0.182316995,0,0.027457996,0.118655009,0,0.001713967,0,0,0.581665536,0.834766072,0.882063697
ICGC_0059,0.082538245,0,0.081575783,0,0.048348576,0.261319411,0,0,0,0,0.063656539,0,0.033690266,0.029074806,0.008744902,0.12006795,0,0.009202495,0.059125937,0.005233649,0,0,0,0.520921531,0.858517481,0.802578559
ICGC_0061,0.168418105,0,0.296343848,0,0,0.380667715,0.076557445,0,0,0.014510563,0,0.096062058,0.006459195,0.073012984,0.075585728,0.209764079,0.022665304,0.016930564,0.132178617,0,0,0.075599412,0,0.589247166,0.823506971,1.644755615
ICGC_0099,0.113231732,0.035269443,0.1611845,0,0,0.302508869,0.022497815,0,0,0,0.063346418,0,0.086866308,0.081842963,0.008982883,0.181988932,0.057973182,0.056258478,0.071979184,0,0.009865543,0.00102428,0,0.552340276,0.848140854,1.25482053
ICGC_0103,0.02965108,0.010172566,0.188067099,0,0,0.243078131,0.016520241,0,0,0,0.056137439,0,0.010868184,0.057203351,0.002009177,0.069051612,0.016305985,0.019269637,0.099575383,0,0,0.001038009,0,0.536987788,0.848796554,0.818947892
ICGC_0063,0.050419021,0,0.19833145,0,0,0.301553572,0,0,0,0,0.110733883,0,0.022069944,0.020421563,0,0.093739351,0,0.018461109,0.003999786,0.047037626,0,0.007142892,0,0.461689518,0.886290387,0.873910196
